fincode,invdate,noshares,percent_aum,schemecode
132523,2026-05-31,972500,0.38,3660
132555,2026-05-31,1063500,0.37,3660
100800,2026-05-31,331650,0.36,3660
132488,2026-05-31,57200,0.35,3660
132321,2026-05-31,351000,0.34,3660
132777,2026-05-31,362625,0.33,3660
100530,2026-05-31,9850,0.33,3660
131642,2026-05-31,426000,0.32,3660
219494,2026-05-31,80400,0.31,3660
132754,2026-05-31,3417750,0.31,3660
218071,2026-05-31,344400,0.30,3660
100086,2026-05-31,851400,0.30,3660
220741,2026-05-31,1707100,0.27,3660
100400,2026-05-31,678600,0.26,3660
208280,2026-05-31,105900,0.26,3660
108869,2026-05-31,34375,0.26,3660
100520,2026-05-31,90800,0.25,3660
117354,2026-05-31,231500,0.25,3660
100510,2026-05-31,66675,0.25,3660
208238,2026-05-31,143275,0.23,3660
132477,2026-05-31,1482375,0.23,3660
100093,2026-05-31,247350,0.21,3660
221809,2026-05-31,2427425,0.21,3660
131344,2026-05-31,486250,0.21,3660
105200,2026-05-31,31200,0.20,3660
100188,2026-05-31,352800,0.20,3660
132725,2026-05-31,12100,0.20,3660
132187,2026-05-31,239400,0.20,3660
132424,2026-05-31,212000,0.20,3660
100034,2026-05-31,209250,0.17,3660
100820,2026-05-31,70500,0.17,3660
100440,2026-05-31,160300,0.16,3660
100104,2026-05-31,455625,0.16,3660
208361,2026-05-31,87450,0.15,3660
209550,2026-05-31,314325,0.15,3660
132538,2026-05-31,14200,0.15,3660
211337,2026-05-31,16625,0.14,3660
293862,2026-05-31,599300,0.14,3660
208883,2026-05-31,137025,0.14,3660
226720,2026-05-31,424175,0.14,3660
100096,2026-05-31,336250,0.14,3660
100425,2026-05-31,329700,0.13,3660
132539,2026-05-31,133100,0.13,3660
200055,2026-05-31,396200,0.12,3660
132432,2026-05-31,101200,0.12,3660
100087,2026-05-31,90000,0.11,3660
132149,2026-05-31,889200,0.11,3660
208801,2026-05-31,1228500,0.11,3660
219442,2026-05-31,129150,0.11,3660
205198,2026-05-31,67250,0.11,3660
213838,2026-05-31,86850,0.11,3660
103100,2026-05-31,64750,0.10,3660
100547,2026-05-31,357475,0.10,3660
109930,2026-05-31,29575,0.10,3660
100570,2026-05-31,259200,0.09,3660
222055,2026-05-31,21300,0.09,3660
100312,2026-05-31,335250,0.08,3660
112070,2026-05-31,134145,0.08,3660
132898,2026-05-31,264100,0.07,3660
100696,2026-05-31,34500,0.07,3660
100114,2026-05-31,18200,0.07,3660
302988,2026-05-31,278125,0.07,3660
132843,2026-05-31,72850,0.06,3660
228974,2026-05-31,57500,0.06,3660
221877,2026-05-31,19600,0.06,3660
132540,2026-05-31,26250,0.05,3660
132234,2026-05-31,135000,0.05,3660
190059,2026-05-31,31150,0.05,3660
214179,2026-05-31,74725,0.04,3660
225154,2026-05-31,5900,0.04,3660
317635,2026-05-31,310400,0.03,3660
100490,2026-05-31,3600,0.03,3660
130965,2026-05-31,243750,0.03,3660
100257,2026-05-31,14450,0.03,3660
223595,2026-05-31,7950,0.03,3660
132667,2026-05-31,523450,0.03,3660
132827,2026-05-31,780,0.03,3660
293380,2026-05-31,16575,0.03,3660
211385,2026-05-31,13125,0.02,3660
217379,2026-05-31,12350,0.02,3660
207901,2026-05-31,5250,0.02,3660
100825,2026-05-31,3750,0.02,3660
100368,2026-05-31,41400,0.02,3660
208766,2026-05-31,6250,0.02,3660
296765,2026-05-31,375,0.01,3660
132286,2026-05-31,11875,0.01,3660
100493,2026-05-31,6500,0.01,3660
100331,2026-05-31,8500,0.01,3660
132921,2026-05-31,6175,0.01,3660
132892,2026-05-31,10850,0.01,3660
221790,2026-05-31,2475,0.01,3660
271875,2026-05-31,4725,0.01,3660
122275,2026-05-31,1125,0.01,3660
269404,2026-05-31,1800,0.01,3660
100469,2026-05-31,15000,0.00,3660
132522,2026-05-31,15200,0.00,3660
132155,2026-05-31,15750,0.00,3660
126299,2026-05-31,1100,0.00,3660
103806,2026-05-31,800,0.00,3660
209078,2026-05-31,1250,0.00,3660
219700,2026-05-31,450,0.00,3660
200091,2026-05-31,1400,0.00,3660
210036,2026-05-31,750,0.00,3660
132497,2026-05-31,150,0.00,3660
124019,2026-05-31,357348,2.00,2797
100820,2026-05-31,677000,1.85,2797
132523,2026-05-31,3800000,1.66,2797
132215,2026-05-31,1010000,1.33,2797
100325,2026-05-31,920000,1.24,2797
205198,2026-05-31,650000,1.18,2797
217389,2026-05-31,1650000,1.00,2797
304714,2026-05-31,872490,0.98,2797
112573,2026-05-31,740000,0.91,2797
106076,2026-05-31,481630,0.90,2797
109488,2026-05-31,1160283,0.86,2797
100180,2026-05-31,1100000,0.84,2797
235355,2026-05-31,318846,0.73,2797
131531,2026-05-31,765778,0.70,2797
100271,2026-05-31,400000,0.68,2797
109966,2026-05-31,2230896,0.58,2797
100387,2026-05-31,20000,0.52,2797
251940,2026-05-31,550000,0.51,2797
113375,2026-05-31,470000,0.49,2797
100940,2026-05-31,2476176,0.47,2797
221217,2026-05-31,970543,0.47,2797
132424,2026-05-31,398000,0.42,2797
100575,2026-05-31,308000,0.39,2797
251791,2026-05-31,1371296,0.36,2797
215367,2026-05-31,830000,0.36,2797
102330,2026-05-31,4962310,0.32,2797
100495,2026-05-31,106387,0.31,2797
296214,2026-05-31,3800000,0.27,2797
200057,2026-05-31,754823,0.26,2797
106222,2026-05-31,110000,0.26,2797
216147,2026-05-31,650000,0.23,2797
200094,2026-05-31,1062000,0.22,2797
100165,2026-05-31,988469,0.22,2797
211969,2026-05-31,318337,0.20,2797
100403,2026-05-31,200000,0.18,2797
114167,2026-05-31,159858,0.15,2797
109557,2026-05-31,215000,0.14,2797
100180,2026-05-31,10300000,8.28,3644
132174,2026-05-31,4300000,5.84,3644
132454,2026-05-31,2200000,4.35,3644
132215,2026-05-31,2750000,3.82,3644
100247,2026-05-31,9000000,3.73,3644
100112,2026-05-31,3300000,3.44,3644
100209,2026-05-31,2700000,3.39,3644
100520,2026-05-31,915000,3.01,3644
100325,2026-05-31,1925000,2.75,3644
132755,2026-05-31,1625000,2.60,3644
132500,2026-05-31,155000,2.20,3644
132898,2026-05-31,5900000,1.85,3644
280713,2026-05-31,6000000,1.82,3644
103100,2026-05-31,940000,1.80,3644
100470,2026-05-31,8000000,1.80,3644
105200,2026-05-31,230000,1.78,3644
100087,2026-05-31,1153321,1.75,3644
126299,2026-05-31,700000,1.72,3644
132187,2026-05-31,1725000,1.70,3644
132296,2026-05-31,675000,1.66,3644
