fincode,invdate,percent_aum,schemecode
1133169,2026-05-31,1.25,2060
1133376,2026-05-31,1.25,2060
1133813,2026-05-31,1.24,2060
1133716,2026-05-31,1.24,2060
1133739,2026-05-31,1.24,2060
1133988,2026-05-31,1.24,2060
1133863,2026-05-31,1.24,2060
1133989,2026-05-31,1.24,2060
1134220,2026-05-31,1.23,2060
1134221,2026-05-31,1.23,2060
1134222,2026-05-31,1.23,2060
1134223,2026-05-31,1.23,2060
1134224,2026-05-31,1.23,2060
1134226,2026-05-31,1.23,2060
1134333,2026-05-31,1.23,2060
1134424,2026-05-31,1.23,2060
1133705,2026-05-31,0.75,2060
1130673,2026-05-31,0.62,2060
1134225,2026-05-31,0.62,2060
1134410,2026-05-31,0.61,2060
1130127,2026-05-31,0.61,2060
1134462,2026-05-31,0.61,2060
1134436,2026-05-31,0.61,2060
1133482,2026-05-31,0.50,2060
1133170,2026-05-31,0.25,2060
1133258,2026-05-31,0.25,2060
1128641,2026-05-31,0.25,2060
1128744,2026-05-31,0.25,2060
1133403,2026-05-31,0.25,2060
1128974,2026-05-31,0.03,2060
1133735,2026-05-31,2.48,2060
1133710,2026-05-31,1.62,2060
1133117,2026-05-31,1.25,2060
1133187,2026-05-31,1.25,2060
1132985,2026-05-31,1.25,2060
1133525,2026-05-31,1.25,2060
1133375,2026-05-31,1.25,2060
1133836,2026-05-31,1.24,2060
1133719,2026-05-31,1.24,2060
1134521,2026-05-31,1.23,2060
1134520,2026-05-31,1.10,2060
1133522,2026-05-31,1.00,2060
1133205,2026-05-31,0.87,2060
1133441,2026-05-31,0.87,2060
1133717,2026-05-31,0.87,2060
1133740,2026-05-31,0.87,2060
1133144,2026-05-31,0.75,2060
1133399,2026-05-31,0.75,2060
1133380,2026-05-31,0.75,2060
1134518,2026-05-31,0.74,2060
1133266,2026-05-31,0.62,2060
1133912,2026-05-31,0.62,2060
1133418,2026-05-31,0.62,2060
1133891,2026-05-31,0.62,2060
1133521,2026-05-31,0.62,2060
1133741,2026-05-31,0.62,2060
1134218,2026-05-31,0.62,2060
1134227,2026-05-31,0.62,2060
1134228,2026-05-31,0.62,2060
1133286,2026-05-31,0.50,2060
1133186,2026-05-31,0.50,2060
1133356,2026-05-31,0.50,2060
1131095,2026-05-31,0.50,2060
1133236,2026-05-31,0.50,2060
1133330,2026-05-31,0.50,2060
1133400,2026-05-31,0.50,2060
1133523,2026-05-31,0.50,2060
1134229,2026-05-31,0.49,2060
1134519,2026-05-31,0.49,2060
1133208,2026-05-31,0.44,2060
1128766,2026-05-31,0.37,2060
1133990,2026-05-31,0.37,2060
1133524,2026-05-31,0.37,2060
1134393,2026-05-31,0.37,2060
1134230,2026-05-31,0.37,2060
1134231,2026-05-31,0.37,2060
1134505,2026-05-31,0.37,2060
1134479,2026-05-31,0.37,2060
1133246,2026-05-31,0.31,2060
1133742,2026-05-31,0.31,2060
1133743,2026-05-31,0.25,2060
1133264,2026-05-31,0.25,2060
1133268,2026-05-31,0.25,2060
1133146,2026-05-31,0.25,2060
1133181,2026-05-31,0.25,2060
1133358,2026-05-31,0.25,2060
1133495,2026-05-31,0.25,2060
1133991,2026-05-31,0.25,2060
1133458,2026-05-31,0.25,2060
1134232,2026-05-31,0.25,2060
1134485,2026-05-31,0.25,2060
1134523,2026-05-31,0.25,2060
